Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage_kmpl,Engine_CC,Power_bhp,Seats,Price_INR,Type of Car,Car Model,price rate,Car_Age,Avg_KM_Per_Year
Maruti Wagon R LXI CNG,Mumbai,2010,72000.0,CNG,Manual,First,39.9,998,58.16,5,175000.0,Maruti,Wagon,Economy,9,8000.0
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000.0,Diesel,Manual,First,19.67,1582,126.2,5,1250000.0,Hyundai,Creta,Luxury,4,10250.0
Honda Jazz V,Chennai,2011,46000.0,Petrol,Manual,First,18.2,1199,88.7,5,450000.0,Honda,Jazz,Economy,8,5750.0
Maruti Ertiga VDI,Chennai,2012,87000.0,Diesel,Manual,First,20.77,1248,88.76,7,600000.0,Maruti,Ertiga,Mid-range,7,12428.57142857143
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670.0,Diesel,Automatic,Second,15.2,1968,140.8,5,1773999.9999999998,Audi,A4,Luxury,6,6778.333333333333
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000.0,LPG,Manual,First,31.65,814,55.2,5,235000.0,Hyundai,EON,Economy,7,10714.285714285714
Nissan Micra Diesel XV,Jaipur,2013,86999.0,Diesel,Manual,First,23.08,1461,63.1,5,350000.0,Nissan,Micra,Economy,6,14499.833333333334
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000.0,Diesel,Automatic,First,11.36,2755,171.5,8,1750000.0,Toyota,Innova,Luxury,3,12000.0
Volkswagen Vento Diesel Comfortline,Pune,2013,64430.0,Diesel,Manual,First,20.54,1598,103.6,5,520000.0,Volkswagen,Vento,Mid-range,6,10738.333333333334
Tata Indica Vista Quadrajet LS,Chennai,2012,65932.0,Diesel,Manual,Second,22.3,1248,74.0,5,195000.0,Tata,Indica,Economy,7,9418.857142857143
Maruti Ciaz Zeta,Kochi,2018,25692.0,Petrol,Manual,First,21.56,1462,103.25,5,994999.9999999999,Maruti,Ciaz,Mid-range,1,25692.0
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000.0,Petrol,Automatic,First,16.8,1497,116.3,5,449000.0,Honda,City,Economy,7,8571.42857142857
Maruti Swift VDI BSIV,Jaipur,2015,64424.0,Diesel,Manual,First,25.2,1248,74.0,5,560000.0,Maruti,Swift,Mid-range,4,16106.0
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000.0,Diesel,Automatic,First,12.7,2179,187.7,5,2700000.0,Land,Rover,Ultra-Luxury,5,14400.0
Land Rover Freelander 2 TD4 SE,Pune,2012,85000.0,Diesel,Automatic,Second,15.466666666666667,2179,115.0,5,1750000.0,Land,Rover,Luxury,7,12142.857142857143
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000.0,Diesel,Manual,First,13.5,2477,175.56,7,1500000.0,Mitsubishi,Pajero,Luxury,5,22000.0
Honda Amaze S i-Dtech,Kochi,2016,58950.0,Diesel,Manual,First,25.8,1498,98.6,5,540000.0,Honda,Amaze,Mid-range,3,19650.0
Maruti Swift DDiS VDI,Jaipur,2017,25000.0,Diesel,Manual,First,28.4,1248,74.0,5,599000.0,Maruti,Swift,Mid-range,2,12500.0
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469.0,Diesel,Manual,First,20.45,1461,83.8,5,634000.0,Renault,Duster,Mid-range,5,15493.8
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500.0,Diesel,Automatic,First,14.84,2143,167.62,5,2800000.0,Mercedes-Benz,New,Ultra-Luxury,5,15700.0
BMW 3 Series 320d,Kochi,2014,32982.0,Diesel,Automatic,First,22.69,1995,190.0,5,1855000.0,BMW,3,Luxury,5,6596.4
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392.0,Diesel,Manual,Second,23.65,1248,88.5,5,825000.0,Maruti,S,Mid-range,4,13848.0
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985.0,Petrol,Automatic,First,13.53,1984,177.01,5,2350000.0,Audi,A6,Ultra-Luxury,4,13996.25
Hyundai i20 1.2 Magna,Kolkata,2010,45807.0,Petrol,Manual,First,18.5,1197,80.0,5,187000.0,Hyundai,i20,Economy,9,5089.666666666667
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000.0,Petrol,Automatic,First,14.4,1598,103.6,5,285000.0,Volkswagen,Vento,Economy,9,3666.6666666666665
Honda City Corporate Edition,Mumbai,2012,51920.0,Petrol,Manual,First,16.8,1497,116.3,5,425000.0,Honda,City,Economy,7,7417.142857142857
